TIME,Spain
1996-12,3455940
1997-01,2898480
1997-02,3399058
1997-03,5318677
1997-04,5113152
1997-05,5523625
1997-06,6175524
1997-07,10266464
1997-08,14750481
1997-09,7931392
1997-10,5034641
1997-11,3761217
1997-12,3535537
1998-01,3225745
1998-02,3745297
1998-03,4901182
1998-04,6709795
1998-05,5747231
1998-06,6553364
1998-07,10823412
1998-08,15864374
1998-09,8420892
1998-10,5749979
1998-11,4134764
1998-12,3834323
1999-01,4137383
1999-02,4644326
1999-03,6180120
1999-04,8050058
1999-05,6870745
1999-06,8087492
1999-07,12897590
1999-08,18096532
1999-09,9717514
1999-10,7140247
1999-11,5020474
1999-12,5035305
2000-01,4503231
2000-02,5235051
2000-03,6388499
2000-04,9499104
2000-05,7451957
2000-06,9381653
2000-07,15415626
2000-08,22090173
2000-09,11865694
2000-10,7761994
2000-11,5649099
2000-12,5507918
2001-01,4773091
2001-02,5290520
2001-03,6458441
2001-04,10218778
2001-05,7469226
2001-06,9807882
2001-07,15581007
2001-08,23311687
2001-09,11884143
2001-10,7649834
2001-11,6030557
2001-12,5388881
2002-01,4709493
2002-02,5450237
2002-03,8794510
2002-04,7690766
2002-05,8189009
2002-06,9872435
2002-07,16426273
2002-08,24575524
2002-09,12068624
2002-10,7727547
2002-11,6226407
2002-12,6023122
2003-01,5082653
2003-02,5541162
2003-03,6979013
2003-04,10293382
2003-05,8892352
2003-06,10796850
2003-07,17166303
2003-08,25814176
2003-09,12997788
2003-10,8181346
2003-11,6440813
2003-12,6263644
2004-01,5544814
2004-02,6509436
2004-03,7658648
2004-04,10945442
2004-05,9042680
2004-06,11877373
2004-07,18482522
2004-08,27409242
2004-09,13737784
2004-10,9900216
2004-11,6796012
2004-12,7214150
2005-01,5820844
2005-02,6684469
2005-03,10263996
2005-04,9157867
2005-05,10693507
2005-06,12538118
2005-07,20449846
2005-08,28600843
2005-09,14643714
2005-10,10134442
2005-11,7331889
2005-12,7254373
2006-01,6408853
2006-02,7301333
2006-03,8846401
2006-04,13698978
2006-05,10823103
2006-06,13537859
2006-07,21271122
2006-08,29517447
2006-09,15449526
2006-10,11165749
2006-11,8008957
2006-12,8465609
2007-01,6523082
2007-02,7429625
2007-03,9479719
2007-04,14063847
2007-05,10958779
2007-06,14413252
2007-07,21642730
2007-08,29266469
2007-09,15369593
2007-10,11091226
2007-11,8828725
2007-12,8093418
2008-01,6502935
2008-02,8089794
2008-03,11948627
2008-04,10132238
2008-05,11912649
2008-06,13923598
2008-07,20737051
2008-08,28626759
2008-09,14854633
2008-10,10011780
2008-11,7665628
2008-12,7253990
2009-01,5847842
2009-02,6981843
2009-03,8684217
2009-04,12351131
2009-05,11159402
2009-06,13377750
2009-07,20827127
2009-08,28642820
2009-09,14385641
2009-10,10621519
2009-11,7582836
2009-12,7524203
2010-01,6024750
2010-02,7281283
2010-03,9604900
2010-04,12245542
2010-05,11521646
2010-06,14024893
2010-07,21432491
2010-08,29041076
2010-09,14272772
2010-10,11182496
2010-11,7394351
2010-12,7849374
2011-01,5925261
2011-02,7271835
2011-03,8914164
2011-04,12779831
2011-05,10455390
2011-06,14273079
2011-07,21805197
2011-08,28932825
2011-09,14799512
2011-10,10192001
2011-11,7303482
2011-12,7435405
2012-01,5943180
2012-02,7112534
2012-03,8837981
2012-04,12154901
2012-05,9852839
2012-06,13308999
2012-07,19789673
2012-08,26469704
2012-09,13462413
2012-10,9200711
2012-11,6542104
2012-12,6606934
2013-01,5222755
2013-02,6114860
2013-03,10523714
2013-04,8713372
2013-05,10252038
2013-06,12936159
2013-07,19429127
2013-08,26676415
2013-09,13360243
2013-10,9164557
2013-11,7345527
2013-12,7025453
2014-01,5370874
2014-02,6398552
2014-03,8300723
2014-04,12008894
2014-05,10907573
2014-06,13888357
2014-07,20357762
2014-08,27621768
2014-09,14309661
2014-10,10007636
2014-11,7226647
2014-12,7552657
2015-01,5961464
2015-02,6863281
2015-03,9248379
2015-04,12493178
2015-05,11007948
2015-06,14709473
2015-07,21864738
2015-08,29079602
2015-09,14932481
2015-10,10862685
2015-11,7140917
2015-12,8099698
2016-01,6566440
2016-02,7723937
2016-03,12379869
2016-04,10167564
2016-05,11823610
2016-06,14797824
2016-07,23439321
2016-08,29757509
2016-09,15550030
2016-10,11866460
2016-11,7834201
2016-12,8494055
2017-01,6482700
2017-02,7537774
2017-03,9533270
2017-04,15069059
2017-05,11929450
2017-06,15746037
2017-07,23646235
2017-08,30040683
2017-09,16019242
2017-10,11834183
2017-11,8166498
2017-12,9192309
2018-01,6605492
2018-02,7535744
2018-03,11797909
2018-04,12231955
2018-05,12148857
2018-06,15762080
2018-07,23201133
2018-08,30424051
2018-09,16300690
2018-10,11847860
2018-11,8892197
2018-12,9170118
