TIME,MALAGA/COSTA DEL SOL airport
2003-01,309942
2003-02,334931
2003-03,458206
2003-04,579312
2003-05,607310
2003-06,604243
2003-07,646544
2003-08,696779
2003-09,604382
2003-10,602341
2003-11,390950
2003-12,357766
2004-01,349623
2004-02,413827
2004-03,485634
2004-04,596072
2004-05,624420
2004-06,591177
2004-07,680894
2004-08,708011
2004-09,634239
2004-10,631164
2004-11,388389
2004-12,373508
2005-01,379055
2005-02,396840
2005-03,517456
2005-04,588100
2005-05,680635
2005-06,657091
2005-07,758096
2005-08,750823
2005-09,687031
2005-10,673542
2005-11,440425
2005-12,404652
2006-01,397516
2006-02,396735
2006-03,525117
2006-04,676092
2006-05,716542
2006-06,701892
2006-07,781919
2006-08,793402
2006-09,745277
2006-10,711623
2006-11,462979
2006-12,446498
2007-01,418807
2007-02,440533
2007-03,576466
2007-04,703009
2007-05,735844
2007-06,741589
2007-07,866506
2007-08,885012
2007-09,797306
2007-10,740602
2007-11,497496
2007-12,469819
2008-01,420245
2008-02,453571
2008-03,592226
2008-04,604536
2008-05,690940
2008-06,672641
2008-07,773106
2008-08,805310
2008-09,659316
2008-10,617644
2008-11,378721
2008-12,345394
2009-01,317287
2009-02,346452
2009-03,443052
2009-04,572045
2009-05,613074
2009-06,621859
2009-07,711775
2009-08,708480
2009-09,618401
2009-10,586559
2009-11,370490
2009-12,363462
2010-01,332281
2010-02,362771
2010-03,486468
2010-04,538499
2010-05,643210
2010-06,660769
2010-07,846081
2010-08,849946
2010-09,732787
2010-10,740549
2010-11,444494
2010-12,381160
2011-01,366043
2011-02,393116
2011-03,543056
2011-04,703195
2011-05,708799
2011-06,725875
2011-07,860474
2011-08,857701
2011-09,756120
2011-10,719360
2011-11,418843
2011-12,383832
2012-01,346460
2012-02,370476
2012-03,507179
2012-04,691276
2012-05,693654
2012-06,729735
2012-07,862532
2012-08,881198
2012-09,763035
2012-10,679319
2012-11,378953
2012-12,354629
2013-01,323414
2013-02,339179
2013-03,490813
2013-04,641043
2013-05,711736
2013-06,746696
2013-07,859930
2013-08,883477
2013-09,784621
2013-10,711839
2013-11,434940
2013-12,401855
2014-01,363369
2014-02,384031
2014-03,499566
2014-04,739541
2014-05,769856
2014-06,797892
2014-07,914905
2014-08,947174
2014-09,834314
2014-10,781956
2014-11,465827
2014-12,431344
2015-01,407890
2015-02,424403
2015-03,560652
2015-04,756795
2015-05,826633
2015-06,828895
2015-07,968259
2015-08,980470
2015-09,867206
2015-10,823389
2015-11,499992
2015-12,485849
2016-01,467452
2016-02,503211
2016-03,685378
2016-04,860891
2016-05,932115
2016-06,929301
2016-07,1104181
2016-08,1106925
2016-09,999092
2016-10,982105
2016-11,619843
2016-12,581360
2017-01,557358
2017-02,565856
2017-03,738162
2017-04,1013211
2017-05,1060259
2017-06,1088350
2017-07,1263295
2017-08,1243389
2017-09,1135296
2017-10,1117491
2017-11,713371
2017-12,674739
